Policy,Total commands,Sliding Window Time,Throughput (cps),Overall Time,Overall Throughput (cps),Faults,Faults Increase,Page Ins
Tiered,0,0,0,0,0,1692705,0,2
Tiered,100000000,160.3,623827.16,160.3,623827.16,1790014,97309,2
Tiered,200000000,172.44,579904.03,332.74,601064.23,1797381,7367,2
Tiered,300000000,189.25,528396.66,521.99,574718.26,1804743,7362,2
Tiered,400000000,277.5,360365.69,799.49,500318.45,2117778,313035,2
Tiered,500000000,187.22,534126.44,986.71,506733.27,2117778,0,2
Tiered,600000000,172.48,579776.54,1159.19,517601.63,2117778,0,2
Tiered,700000000,173.59,576060.47,1332.79,525215.79,2117779,1,2
Tiered,800000000,268.23,372818.24,1601.01,499683.72,2300522,182743,2
Tiered,900000000,200.59,498524.04,1801.6,499554.6,2300523,1,2
Tiered,1000000000,192.27,520094.53,1993.88,501535.3,2300523,0,2
Tiered,1100000000,248.18,402930.84,2242.06,490620.42,2483265,182742,2
Tiered,1200000000,181.75,550194.24,2423.81,495087.67,2483265,0,2
Tiered,1300000000,190.28,525534.96,2614.1,497303.95,2483265,0,2
Leveled,0,0,0,0,0,1696588,0,2
Leveled,100000000,174.55,572913.3,174.55,572913.3,1806415,109827,2
Leveled,200000000,267.28,374143.47,441.82,452669.32,2133794,327379,2
Leveled,300000000,328.54,304376.53,770.36,389426.26,2778515,644721,2
Leveled,400000000,421.03,237510.65,1191.4,335740.08,3691094,912579,2
Leveled,500000000,281.7,354989.39,1473.1,339421.1,3886052,194958,2
Leveled,600000000,311.03,321513.68,1784.13,336299.28,4416975,530923,2
Leveled,700000000,372.87,268189.09,2157,324525.35,5228171,811196,2
Leveled,800000000,374.77,266829.4,2531.77,315984.76,5946888,718717,2
Leveled,900000000,368.42,271427.28,2900.19,310324.44,6397634,450746,2
Leveled,1000000000,410.77,243443.32,3310.96,302026.87,7143134,745500,2
Leveled,1100000000,468.54,213426.77,3779.51,291043.14,8902634,1759500,2
Leveled,1200000000,275.42,363077.3,4054.93,295935.92,9268614,365980,2
Leveled,1300000000,371.52,269164.26,4426.45,293688.92,9979312,710698,2
Lazy Leveled,0,0,0,0,0,1696631,0,4
Lazy Leveled,100000000,162.53,615288.05,162.53,615288.05,1790039,93408,4
Lazy Leveled,200000000,172.13,580955.64,334.66,597629.17,1797404,7365,4
Lazy Leveled,300000000,172.03,581302.67,506.68,592086.05,1804768,7364,4
Lazy Leveled,400000000,255.99,390639.33,762.67,524470.68,2117799,313031,4
Lazy Leveled,500000000,266.15,375723.23,1028.83,485990.32,2320116,202317,4
Lazy Leveled,600000000,349.43,286180.3,1378.26,435332.41,2851045,530929,4
Lazy Leveled,700000000,411.08,243258.7,1789.34,391205.23,3706420,855375,4
Lazy Leveled,800000000,360.41,277460.75,2149.75,372135.69,4435884,729464,4
Lazy Leveled,900000000,314.83,317627.95,2464.59,365172.71,4911760,475876,4
Lazy Leveled,1000000000,354.27,282268.24,2818.86,354753.32,5679422,767662,4
Lazy Leveled,1100000000,502.36,199059.44,3321.22,331203.33,7011172,1331750,4
Lazy Leveled,1200000000,303.7,329272.47,3624.92,331041.56,7331177,320005,4
Lazy Leveled,1300000000,375.2,266521.37,4000.13,324989.68,7977540,646363,4
Partial 0.3,0,0,0,0,0,1695242,0,4
Partial 0.3,100000000,160.31,623795.19,160.31,623795.19,1790035,94793,4
Partial 0.3,200000000,175.72,569096.67,336.03,595191.87,1797403,7368,4
Partial 0.3,300000000,188.93,529289.92,524.96,571473.78,1804767,7364,4
Partial 0.3,400000000,223.79,446847.91,748.75,534224.95,1893674,88907,4
Partial 0.3,500000000,229.21,436282.08,977.96,511269.52,1949809,56135,4
Partial 0.3,600000000,229.54,435652.38,1207.5,496895,2005946,56137,4
Partial 0.3,700000000,225.8,442875.05,1433.3,488384.85,2062078,56132,4
Partial 0.3,800000000,228.36,437898.21,1661.66,481446.42,2118211,56133,4
Partial 0.3,900000000,221.98,450487.55,1883.64,477798,2174345,56134,4
Partial 0.3,1000000000,209.94,476323.09,2093.58,477650.1,2230487,56142,4
Partial 0.3,1100000000,207.62,481660.72,2301.2,478011.94,2286620,56133,4
Partial 0.3,1200000000,209.7,476876.8,2510.9,477917.14,2342754,56134,4
Partial 0.3,1300000000,209.28,477838.59,2720.17,477911.1,2398887,56133,4
Partial 0.5,0,0,0,0,0,1698946,0,3
Partial 0.5,100000000,160.12,624517.27,160.12,624517.27,1790034,91088,3
Partial 0.5,200000000,173.66,575850.6,333.78,599197.39,1797398,7364,3
Partial 0.5,300000000,174.5,573073.36,508.28,590228.7,1804763,7365,3
Partial 0.5,400000000,238.89,418606.34,747.17,535356.64,1970593,165830,3
Partial 0.5,500000000,205.15,487442.6,952.32,525034.79,1970593,0,3
Partial 0.5,600000000,246.58,405543.47,1198.9,500458.53,2063518,92925,3
Partial 0.5,700000000,206.8,483569.99,1405.7,497974.02,2063518,0,3
Partial 0.5,800000000,243.54,410608.36,1649.24,485072.82,2156446,92928,3
Partial 0.5,900000000,210.52,475008.1,1859.76,483933.51,2249371,92925,3
Partial 0.5,1000000000,184.21,542861.91,2043.97,489244.32,2249371,0,3
Partial 0.5,1100000000,232.6,429921.91,2276.57,483183.26,2342292,92921,3
Partial 0.5,1200000000,178.24,561055.75,2454.8,488837.33,2342293,1,3
Partial 0.5,1300000000,212.5,470583.63,2667.31,487383.08,2435219,92926,3
