Policy,Total commands,Sliding Window Time,Sliding Window Throughput,Sliding Window I/O,Overall Time,Overall Throughput,Overall I/O
Tiered,2000000,16.11,124136.25,482175,16.11,124136.25,482175
Tiered,4000000,24.66,81115.27,763378,40.77,98117.13,1245553
Tiered,6000000,26.68,74972.37,805435,67.44,88962.57,2050988
Tiered,8000000,26.27,76129.15,800228,93.72,85364.98,2851216
Tiered,10000000,28.52,70131.94,834943,122.23,81811.02,3686159
Leveled,2000000,15.5,129011.97,478206,15.5,129011.97,478206
Leveled,4000000,23.88,83735.98,737869,39.39,101556.27,1216075
Leveled,6000000,25.64,78018.28,763681,65.02,92276.39,1979756
Leveled,8000000,25.88,77268.09,783828,90.91,88003.03,2763584
Leveled,10000000,26.33,75948.17,787455,117.24,85295.34,3551039
Tiered-Skewed-0.8,2000000,19,105263.83,565322,19,105263.83,565322
Tiered-Skewed-0.8,4000000,28.51,70138.96,823244,47.51,84184.47,1388566
Tiered-Skewed-0.8,6000000,28.45,70293.33,851277,75.97,78981.76,2239843
Tiered-Skewed-0.8,8000000,27,74064.5,825669,102.97,77692.23,3065512
Tiered-Skewed-0.8,10000000,29.35,68139.75,863708,132.32,75573.31,3929220
Leveled-Skewed-0.8,2000000,17.93,111571.3,559783,17.93,111571.3,559783
Leveled-Skewed-0.8,4000000,25.34,78942.12,790114,43.26,92462.51,1349897
Leveled-Skewed-0.8,6000000,26.15,76484.18,797061,69.41,86442.91,2146958
Leveled-Skewed-0.8,8000000,26.4,75768.88,807852,95.81,83502.04,2954810
Leveled-Skewed-0.8,10000000,26.69,74924.22,809494,122.5,81632.87,3764304
