Number of Threads,Total commands,Sliding Window Time,Sliding Window Throughput,Sliding Window I/O,Overall Time,Overall Throughput,Overall I/O
1,200000,0.93,215579.96,465,0.93,215579.96,465
1,400000,3.81,52528.72,575,4.74,84474.23,1040
1,600000,8.97,22306.59,624,13.7,43792,1664
1,800000,8.84,22621.87,693,22.54,35489.09,2357
1,1000000,10.17,19671.34,610,32.71,30572.43,2967
2,200000,0.76,262175.08,465,0.76,262175.08,465
2,400000,2.91,68690.71,575,3.67,108859.8,1040
2,600000,6.71,29824.35,624,10.38,57801.35,1664
2,800000,6.81,29389.03,693,17.19,46550.49,2357
2,1000000,7.49,26704.67,610,24.67,40526.9,2967
3,200000,0.72,278670.69,465,0.72,278670.69,465
3,400000,2.64,75650.23,575,3.36,118996.62,1040
3,600000,5.92,33769.19,624,9.28,64627.32,1664
3,800000,6.14,32589.38,693,15.42,51877.42,2357
3,1000000,6.87,29092.73,610,22.3,44852.02,2967
4,200000,0.79,253271.64,465,0.79,253271.64,465
4,400000,2.84,70365.95,575,3.63,110133.64,1040
4,600000,6.27,31884.12,624,9.9,60577.5,1664
4,800000,6.21,32228.92,693,16.11,49657.76,2357
4,1000000,6.93,28880.81,610,23.04,43411.66,2967
5,200000,0.82,242488.91,465,0.82,242488.91,465
5,400000,3.22,62173.26,575,4.04,98970.78,1040
5,600000,7.24,27615.45,624,11.28,53173.01,1664
5,800000,7.32,27310.33,693,18.61,42994.21,2357
5,1000000,8,24997.91,610,26.61,37582.93,2967
6,200000,0.82,242538.01,465,0.82,242538.01,465
6,400000,3.41,58648.39,575,4.23,94456.2,1040
6,600000,7.88,25396.73,624,12.11,49546.66,1664
6,800000,7.54,26535.69,693,19.65,40719.07,2357
6,1000000,8.36,23918.36,610,28.01,35703.33,2967
7,200000,0.91,220967.37,465,0.91,220967.37,465
7,400000,3.27,61111.4,575,4.18,95743.62,1040
7,600000,7.62,26263.47,624,11.79,50877.79,1664
7,800000,7.67,26066.01,693,19.47,41097.73,2357
7,1000000,8.65,23134.61,610,28.11,35573.45,2967
8,200000,0.87,229581.59,465,0.87,229581.59,465
8,400000,3.39,58934.93,575,4.26,93792.73,1040
8,600000,7.71,25938.06,624,11.98,50102.71,1664
8,800000,7.98,25052.32,693,19.96,40082.78,2357
8,1000000,8.74,22874.07,610,28.7,34840.51,2967
9,200000,0.87,228582.66,465,0.87,228582.66,465
9,400000,3.36,59454.73,575,4.24,94364.95,1040
9,600000,7.83,25531.12,624,12.07,49699.98,1664
9,800000,7.78,25698.83,693,19.85,40292.33,2357
9,1000000,8.64,23139.78,610,28.5,35090.16,2967
10,200000,0.87,230314.98,465,0.87,230314.98,465
10,400000,3.44,58142.43,575,4.31,92846.09,1040
10,600000,8,25011.68,624,12.3,48762.76,1664
10,800000,8.19,24412.07,693,20.5,39029.84,2357
10,1000000,8.94,22372.27,610,29.44,33971.11,2967
